2023-03-15,Biweekly Paycheck,2000.00,credit,Paycheck,Checking
2023-03-15,Power Company,60.00,debit,Utilities,Checking
2023-03-14,Credit Card Payment,305.27,debit,Credit Card Payment,Checking
2023-03-14,Credit Card Payment,301.79,debit,Credit Card Payment,Checking
2023-03-14,Brunch Restaurant,8.00,debit,Restaurants,Platinum Card
2023-03-13,Credit Card Payment,532.86,credit,Credit Card Payment,Platinum Card
2023-03-13,Credit Card Payment,301.79,credit,Credit Card Payment,Silver Card
2023-03-12,Phone Company,65.00,debit,Mobile Phone,Checking
2023-03-12,Bakery Place,3.02,debit,Restaurants,Platinum Card
2023-03-09,Spotify,10.69,debit,Music,Platinum Card
2023-03-08,BP,34.08,debit,Gas & Fuel,Platinum Card
2023-03-08,Amazon,27.17,debit,Shopping,Platinum Card
2023-03-08,Gas Company,49.00,debit,Utilities,Checking
2023-03-06,Credit Card Payment,491.86,debit,Credit Card Payment,Checking
2023-03-05,Fancy Restaurant,7.00,debit,Restaurants,Silver Card
2023-03-04,Grocery Store,92.04,debit,Groceries,Silver Card
2023-03-04,Mortgage Payment,1100.00,debit,Mortgage & Rent,Checking
2023-03-04,Netflix,11.76,debit,Television,Platinum Card
2023-03-01,Biweekly Paycheck,2000.00,credit,Paycheck,Checking
2023-03-01,Amazon,13.09,debit,Shopping,Platinum Card
2023-02-28,Grocery Store,32.07,debit,Groceries,Silver Card
2023-02-27,Roadside Diner,25.77,debit,Restaurants,Silver Card
2023-02-25,BP,33.80,debit,Gas & Fuel,Silver Card
2023-02-25,Internet Service Provider,75.00,debit,Internet,Checking
2023-02-21,Credit Card Payment,292.54,debit,Credit Card Payment,Checking
2023-02-21,Grocery Store,46.96,debit,Groceries,Silver Card
2023-02-20,State Farm,75.00,debit,Auto Insurance,Checking
2023-02-20,Credit Card Payment,292.54,credit,Credit Card Payment,Silver Card
2023-02-20,Barbershop,30.00,debit,Haircut,Platinum Card
2023-02-19,Credit Card Payment,574.84,debit,Credit Card Payment,Checking
2023-02-19,City Water Charges,35.00,debit,Utilities,Checking
2023-02-16,Brewing Company,8.00,debit,Alcohol & Bars,Platinum Card
2023-02-16,American Tavern,32.75,debit,Restaurants,Platinum Card
2023-02-16,Amazon,37.45,debit,Shopping,Platinum Card
2023-02-15,Credit Card Payment,207.47,credit,Credit Card Payment,Platinum Card
2023-02-15,Credit Card Payment,207.47,debit,Credit Card Payment,Checking
2023-02-15,Grocery Store,4.59,debit,Groceries,Platinum Card
2023-02-15,Biweekly Paycheck,2000.00,credit,Paycheck,Checking
2023-02-15,Power Company,60.00,debit,Utilities,Checking
2023-02-13,Grocery Store,8.21,debit,Groceries,Platinum Card
2023-02-12,Grocery Store,30.54,debit,Groceries,Platinum Card
2023-02-12,Phone Company,65.00,debit,Mobile Phone,Checking
2023-02-11,Starbucks,3.00,debit,Coffee Shops,Platinum Card
2023-02-11,Credit Card Payment,133.95,debit,Credit Card Payment,Checking
2023-02-11,BP,24.01,debit,Gas & Fuel,Platinum Card
2023-02-09,Spotify,10.69,debit,Music,Platinum Card
2023-02-08,Starbucks,3.00,debit,Coffee Shops,Platinum Card
2023-02-08,Thai Restaurant,27.47,debit,Restaurants,Platinum Card
2023-02-07,Gas Company,65.00,debit,Utilities,Checking
2023-02-05,Mortgage Payment,1100.00,debit,Mortgage & Rent,Checking
2023-02-04,Hardware Store,86.97,debit,Home Improvement,Silver Card
2023-02-04,Netflix,11.76,debit,Television,Platinum Card
2023-02-01,Biweekly Paycheck,2000.00,credit,Paycheck,Checking
2023-02-01,Roadside Diner,9.47,debit,Restaurants,Silver Card
2023-02-01,Amazon,13.09,debit,Shopping,Platinum Card
2023-01-31,Credit Card Payment,1900.00,debit,Credit Card Payment,Checking
2023-01-31,Shell,31.32,debit,Gas & Fuel,Silver Card
2023-01-25,Internet Service Provider,75.00,debit,Internet,Checking
2023-01-24,Grocery Store,21.06,debit,Groceries,Silver Card
2023-01-24,Amazon,11.70,debit,Shopping,Platinum Card
2023-01-24,Amazon,4.21,debit,Shopping,Platinum Card
2023-01-22,Credit Card Payment,277.99,debit,Credit Card Payment,Checking
2023-01-21,Credit Card Payment,277.99,credit,Credit Card Payment,Silver Card
2023-01-18,State Farm,75.00,debit,Auto Insurance,Checking
2023-01-18,Biweekly Paycheck,2000.00,credit,Paycheck,Checking
2023-01-16,City Water Charges,35.00,debit,Utilities,Checking
2023-01-16,Power Company,60.00,debit,Utilities,Checking
2023-01-15,Grocery Store,6.06,debit,Groceries,Silver Card
2023-01-14,Shell,28.92,debit,Gas & Fuel,Silver Card
2023-01-10,Grocery Store,58.79,debit,Groceries,Silver Card
2023-01-10,Barbershop,30.00,debit,Haircut,Silver Card
2023-01-10,Phone Company,65.00,debit,Mobile Phone,Checking
2023-01-09,Credit Card Payment,491.45,credit,Credit Card Payment,Platinum Card
2023-01-09,Credit Card Payment,491.45,debit,Credit Card Payment,Checking
2023-01-09,Credit Card Payment,281.84,debit,Credit Card Payment,Checking
